b3027300|	add x5,x6,x7
077405e3|	vlseg8e64ff.v v8,(x10)
070405e1|	vlseg8e8ff.v v8,(x10),v0.t
075405e1|	vlseg8e16ff.v v8,(x10),v0.t
076405e1|	vlseg8e32ff.v v8,(x10),v0.t
077405e1|	vlseg8e64ff.v v8,(x10),v0.t

# 31.7.8.2: Vector Strided Segment Loads and Stores
0704b52a|	vlsseg2e8.v v8,(x10),x11
0754b52a|	vlsseg2e16.v v8,(x10),x11
0764b52a|	vlsseg2e32.v v8,(x10),x11
0774b52a|	vlsseg2e64.v v8,(x10),x11
0704b528|	vlsseg2e8.v v8,(x10),x11,v0.t
0754b528|	vlsseg2e16.v v8,(x10),x11,v0.t
0764b528|	vlsseg2e32.v v8,(x10),x11,v0.t
0774b528|	vlsseg2e64.v v8,(x10),x11,v0.t
0704b54a|	vlsseg3e8.v v8,(x10),x11
0754b54a|	vlsseg3e16.v v8,(x10),x11
0764b54a|	vlsseg3e32.v v8,(x10),x11
0774b54a|	vlsseg3e64.v v8,(x10),x11
0704b548|	vlsseg3e8.v v8,(x10),x11,v0.t
0754b548|	vlsseg3e16.v v8,(x10),x11,v0.t
0764b548|	vlsseg3e32.v v8,(x10),x11,v0.t
0774b548|	vlsseg3e64.v v8,(x10),x11,v0.t
0704b56a|	vlsseg4e8.v v8,(x10),x11
0754b56a|	vlsseg4e16.v v8,(x10),x11
0764b56a|	vlsseg4e32.v v8,(x10),x11
0774b56a|	vlsseg4e64.v v8,(x10),x11
0704b568|	vlsseg4e8.v v8,(x10),x11,v0.t
0754b568|	vlsseg4e16.v v8,(x10),x11,v0.t
0764b568|	vlsseg4e32.v v8,(x10),x11,v0.t
0774b568|	vlsseg4e64.v v8,(x10),x11,v0.t
0704b58a|	vlsseg5e8.v v8,(x10),x11
0754b58a|	vlsseg5e16.v v8,(x10),x11
0764b58a|	vlsseg5e32.v v8,(x10),x11
0774b58a|	vlsseg5e64.v v8,(x10),x11
0704b588|	vlsseg5e8.v v8,(x10),x11,v0.t
0754b588|	vlsseg5e16.v v8,(x10),x11,v0.t
0764b588|	vlsseg5e32.v v8,(x10),x11,v0.t
0774b588|	vlsseg5e64.v v8,(x10),x11,v0.t
0704b5aa|	vlsseg6e8.v v8,(x10),x11
0754b5aa|	vlsseg6e16.v v8,(x10),x11
0764b5aa|	vlsseg6e32.v v8,(x10),x11
0774b5aa|	vlsseg6e64.v v8,(x10),x11
0704b5a8|	vlsseg6e8.v v8,(x10),x11,v0.t
0754b5a8|	vlsseg6e16.v v8,(x10),x11,v0.t
0764b5a8|	vlsseg6e32.v v8,(x10),x11,v0.t
0774b5a8|	vlsseg6e64.v v8,(x10),x11,v0.t
0704b5ca|	vlsseg7e8.v v8,(x10),x11
0754b5ca|	vlsseg7e16.v v8,(x10),x11
0764b5ca|	vlsseg7e32.v v8,(x10),x11
0774b5ca|	vlsseg7e64.v v8,(x10),x11
0704b5c8|	vlsseg7e8.v v8,(x10),x11,v0.t
0754b5c8|	vlsseg7e16.v v8,(x10),x11,v0.t
0764b5c8|	vlsseg7e32.v v8,(x10),x11,v0.t
0774b5c8|	vlsseg7e64.v v8,(x10),x11,v0.t
0704b5ea|	vlsseg8e8.v v8,(x10),x11
0754b5ea|	vlsseg8e16.v v8,(x10),x11
0764b5ea|	vlsseg8e32.v v8,(x10),x11
0774b5ea|	vlsseg8e64.v v8,(x10),x11
0704b5e8|	vlsseg8e8.v v8,(x10),x11,v0.t
0754b5e8|	vlsseg8e16.v v8,(x10),x11,v0.t
0764b5e8|	vlsseg8e32.v v8,(x10),x11,v0.t
0774b5e8|	vlsseg8e64.v v8,(x10),x11,v0.t
270cb52a|	vssseg2e8.v v24,(x10),x11
275cb52a|	vssseg2e16.v v24,(x10),x11
276cb52a|	vssseg2e32.v v24,(x10),x11
277cb52a|	vssseg2e64.v v24,(x10),x11
270cb528|	vssseg2e8.v v24,(x10),x11,v0.t
275cb528|	vssseg2e16.v v24,(x10),x11,v0.t
276cb528|	vssseg2e32.v v24,(x10),x11,v0.t
277cb528|	vssseg2e64.v v24,(x10),x11,v0.t
270cb54a|	vssseg3e8.v v24,(x10),x11
275cb54a|	vssseg3e16.v v24,(x10),x11
276cb54a|	vssseg3e32.v v24,(x10),x11
277cb54a|	vssseg3e64.v v24,(x10),x11
270cb548|	vssseg3e8.v v24,(x10),x11,v0.t
275cb548|	vssseg3e16.v v24,(x10),x11,v0.t
276cb548|	vssseg3e32.v v24,(x10),x11,v0.t
277cb548|	vssseg3e64.v v24,(x10),x11,v0.t
270cb56a|	vssseg4e8.v v24,(x10),x11
275cb56a|	vssseg4e16.v v24,(x10),x11
276cb56a|	vssseg4e32.v v24,(x10),x11
277cb56a|	vssseg4e64.v v24,(x10),x11
270cb568|	vssseg4e8.v v24,(x10),x11,v0.t
275cb568|	vssseg4e16.v v24,(x10),x11,v0.t
276cb568|	vssseg4e32.v v24,(x10),x11,v0.t
277cb568|	vssseg4e64.v v24,(x10),x11,v0.t
270cb58a|	vssseg5e8.v v24,(x10),x11
275cb58a|	vssseg5e16.v v24,(x10),x11
276cb58a|	vssseg5e32.v v24,(x10),x11
277cb58a|	vssseg5e64.v v24,(x10),x11
270cb588|	vssseg5e8.v v24,(x10),x11,v0.t
275cb588|	vssseg5e16.v v24,(x10),x11,v0.t
276cb588|	vssseg5e32.v v24,(x10),x11,v0.t
277cb588|	vssseg5e64.v v24,(x10),x11,v0.t
270cb5aa|	vssseg6e8.v v24,(x10),x11
275cb5aa|	vssseg6e16.v v24,(x10),x11
276cb5aa|	vssseg6e32.v v24,(x10),x11
277cb5aa|	vssseg6e64.v v24,(x10),x11
270cb5a8|	vssseg6e8.v v24,(x10),x11,v0.t
275cb5a8|	vssseg6e16.v v24,(x10),x11,v0.t
276cb5a8|	vssseg6e32.v v24,(x10),x11,v0.t
277cb5a8|	vssseg6e64.v v24,(x10),x11,v0.t
270cb5ca|	vssseg7e8.v v24,(x10),x11
275cb5ca|	vssseg7e16.v v24,(x10),x11
276cb5ca|	vssseg7e32.v v24,(x10),x11
277cb5ca|	vssseg7e64.v v24,(x10),x11
270cb5c8|	vssseg7e8.v v24,(x10),x11,v0.t
275cb5c8|	vssseg7e16.v v24,(x10),x11,v0.t
276cb5c8|	vssseg7e32.v v24,(x10),x11,v0.t
277cb5c8|	vssseg7e64.v v24,(x10),x11,v0.t
270cb5ea|	vssseg8e8.v v24,(x10),x11
275cb5ea|	vssseg8e16.v v24,(x10),x11
276cb5ea|	vssseg8e32.v v24,(x10),x11
277cb5ea|	vssseg8e64.v v24,(x10),x11
270cb5e8|	vssseg8e8.v v24,(x10),x11,v0.t
275cb5e8|	vssseg8e16.v v24,(x10),x11,v0.t
276cb5e8|	vssseg8e32.v v24,(x10),x11,v0.t
277cb5e8|	vssseg8e64.v v24,(x10),x11,v0.t

# 31.7.8.3: Vector Indexed Segment Loads and Stores
07044526|	vluxseg2ei8.v v8,(x10),v4
07544526|	vluxseg2ei16.v v8,(x10),v4
07644526|	vluxseg2ei32.v v8,(x10),v4
07744526|	vluxseg2ei64.v v8,(x10),v4
07044524|	vluxseg2ei8.v v8,(x10),v4,v0.t
07544524|	vluxseg2ei16.v v8,(x10),v4,v0.t
07644524|	vluxseg2ei32.v v8,(x10),v4,v0.t
07744524|	vluxseg2ei64.v v8,(x10),v4,v0.t
07044546|	vluxseg3ei8.v v8,(x10),v4
07544546|	vluxseg3ei16.v v8,(x10),v4
07644546|	vluxseg3ei32.v v8,(x10),v4
07744546|	vluxseg3ei64.v v8,(x10),v4
07044544|	vluxseg3ei8.v v8,(x10),v4,v0.t
07544544|	vluxseg3ei16.v v8,(x10),v4,v0.t
07644544|	vluxseg3ei32.v v8,(x10),v4,v0.t
07744544|	vluxseg3ei64.v v8,(x10),v4,v0.t
07044566|	vluxseg4ei8.v v8,(x10),v4
07544566|	vluxseg4ei16.v v8,(x10),v4
07644566|	vluxseg4ei32.v v8,(x10),v4
07744566|	vluxseg4ei64.v v8,(x10),v4
07044564|	vluxseg4ei8.v v8,(x10),v4,v0.t
07544564|	vluxseg4ei16.v v8,(x10),v4,v0.t
07644564|	vluxseg4ei32.v v8,(x10),v4,v0.t
07744564|	vluxseg4ei64.v v8,(x10),v4,v0.t
07044586|	vluxseg5ei8.v v8,(x10),v4
07544586|	vluxseg5ei16.v v8,(x10),v4
07644586|	vluxseg5ei32.v v8,(x10),v4
07744586|	vluxseg5ei64.v v8,(x10),v4
07044584|	vluxseg5ei8.v v8,(x10),v4,v0.t
07544584|	vluxseg5ei16.v v8,(x10),v4,v0.t
07644584|	vluxseg5ei32.v v8,(x10),v4,v0.t
07744584|	vluxseg5ei64.v v8,(x10),v4,v0.t
070445a6|	vluxseg6ei8.v v8,(x10),v4
075445a6|	vluxseg6ei16.v v8,(x10),v4
076445a6|	vluxseg6ei32.v v8,(x10),v4
077445a6|	vluxseg6ei64.v v8,(x10),v4
070445a4|	vluxseg6ei8.v v8,(x10),v4,v0.t
075445a4|	vluxseg6ei16.v v8,(x10),v4,v0.t
076445a4|	vluxseg6ei32.v v8,(x10),v4,v0.t
077445a4|	vluxseg6ei64.v v8,(x10),v4,v0.t
070445ae|	vloxseg6ei8.v v8,(x10),v4
075445ae|	vloxseg6ei16.v v8,(x10),v4
076445ae|	vloxseg6ei32.v v8,(x10),v4
077445ae|	vloxseg6ei64.v v8,(x10),v4
070445ac|	vloxseg6ei8.v v8,(x10),v4,v0.t
075445ac|	vloxseg6ei16.v v8,(x10),v4,v0.t
076445ac|	vloxseg6ei32.v v8,(x10),v4,v0.t
077445ac|	vloxseg6ei64.v v8,(x10),v4,v0.t
070445c6|	vluxseg7ei8.v v8,(x10),v4
075445c6|	vluxseg7ei16.v v8,(x10),v4
076445c6|	vluxseg7ei32.v v8,(x10),v4
077445c6|	vluxseg7ei64.v v8,(x10),v4
070445c4|	vluxseg7ei8.v v8,(x10),v4,v0.t
075445c4|	vluxseg7ei16.v v8,(x10),v4,v0.t
076445c4|	vluxseg7ei32.v v8,(x10),v4,v0.t
077445c4|	vluxseg7ei64.v v8,(x10),v4,v0.t
070445e6|	vluxseg8ei8.v v8,(x10),v4
075445e6|	vluxseg8ei16.v v8,(x10),v4
076445e6|	vluxseg8ei32.v v8,(x10),v4
077445e6|	vluxseg8ei64.v v8,(x10),v4
070445e4|	vluxseg8ei8.v v8,(x10),v4,v0.t
075445e4|	vluxseg8ei16.v v8,(x10),v4,v0.t
076445e4|	vluxseg8ei32.v v8,(x10),v4,v0.t
077445e4|	vluxseg8ei64.v v8,(x10),v4,v0.t
270c4526|	vsuxseg2ei8.v v24,(x10),v4
275c4526|	vsuxseg2ei16.v v24,(x10),v4
276c4526|	vsuxseg2ei32.v v24,(x10),v4
277c4526|	vsuxseg2ei64.v v24,(x10),v4
270c4524|	vsuxseg2ei8.v v24,(x10),v4,v0.t
275c4524|	vsuxseg2ei16.v v24,(x10),v4,v0.t
276c4524|	vsuxseg2ei32.v v24,(x10),v4,v0.t
277c4524|	vsuxseg2ei64.v v24,(x10),v4,v0.t
270c4546|	vsuxseg3ei8.v v24,(x10),v4
275c4546|	vsuxseg3ei16.v v24,(x10),v4
276c4546|	vsuxseg3ei32.v v24,(x10),v4
277c4546|	vsuxseg3ei64.v v24,(x10),v4
270c4544|	vsuxseg3ei8.v v24,(x10),v4,v0.t
275c4544|	vsuxseg3ei16.v v24,(x10),v4,v0.t
276c4544|	vsuxseg3ei32.v v24,(x10),v4,v0.t
277c4544|	vsuxseg3ei64.v v24,(x10),v4,v0.t
270c4566|	vsuxseg4ei8.v v24,(x10),v4
275c4566|	vsuxseg4ei16.v v24,(x10),v4
276c4566|	vsuxseg4ei32.v v24,(x10),v4
277c4566|	vsuxseg4ei64.v v24,(x10),v4
270c4564|	vsuxseg4ei8.v v24,(x10),v4,v0.t
275c4564|	vsuxseg4ei16.v v24,(x10),v4,v0.t
276c4564|	vsuxseg4ei32.v v24,(x10),v4,v0.t
277c4564|	vsuxseg4ei64.v v24,(x10),v4,v0.t
270c4586|	vsuxseg5ei8.v v24,(x10),v4
275c4586|	vsuxseg5ei16.v v24,(x10),v4
276c4586|	vsuxseg5ei32.v v24,(x10),v4
277c4586|	vsuxseg5ei64.v v24,(x10),v4
270c4584|	vsuxseg5ei8.v v24,(x10),v4,v0.t
275c4584|	vsuxseg5ei16.v v24,(x10),v4,v0.t
276c4584|	vsuxseg5ei32.v v24,(x10),v4,v0.t
277c4584|	vsuxseg5ei64.v v24,(x10),v4,v0.t
270c45a6|	vsuxseg6ei8.v v24,(x10),v4
275c45a6|	vsuxseg6ei16.v v24,(x10),v4
276c45a6|	vsuxseg6ei32.v v24,(x10),v4
277c45a6|	vsuxseg6ei64.v v24,(x10),v4
270c45a4|	vsuxseg6ei8.v v24,(x10),v4,v0.t
275c45a4|	vsuxseg6ei16.v v24,(x10),v4,v0.t
276c45a4|	vsuxseg6ei32.v v24,(x10),v4,v0.t
277c45a4|	vsuxseg6ei64.v v24,(x10),v4,v0.t
270c45c6|	vsuxseg7ei8.v v24,(x10),v4
275c45c6|	vsuxseg7ei16.v v24,(x10),v4
276c45c6|	vsuxseg7ei32.v v24,(x10),v4
277c45c6|	vsuxseg7ei64.v v24,(x10),v4
270c45c4|	vsuxseg7ei8.v v24,(x10),v4,v0.t
275c45c4|	vsuxseg7ei16.v v24,(x10),v4,v0.t
276c45c4|	vsuxseg7ei32.v v24,(x10),v4,v0.t
277c45c4|	vsuxseg7ei64.v v24,(x10),v4,v0.t
270c45e6|	vsuxseg8ei8.v v24,(x10),v4
275c45e6|	vsuxseg8ei16.v v24,(x10),v4
276c45e6|	vsuxseg8ei32.v v24,(x10),v4
277c45e6|	vsuxseg8ei64.v v24,(x10),v4
270c45e4|	vsuxseg8ei8.v v24,(x10),v4,v0.t
275c45e4|	vsuxseg8ei16.v v24,(x10),v4,v0.t
276c45e4|	vsuxseg8ei32.v v24,(x10),v4,v0.t
277c45e4|	vsuxseg8ei64.v v24,(x10),v4,v0.t
0704452e|	vloxseg2ei8.v v8,(x10),v4
0754452e|	vloxseg2ei16.v v8,(x10),v4
0764452e|	vloxseg2ei32.v v8,(x10),v4
0774452e|	vloxseg2ei64.v v8,(x10),v4
0704452c|	vloxseg2ei8.v v8,(x10),v4,v0.t
0754452c|	vloxseg2ei16.v v8,(x10),v4,v0.t
0764452c|	vloxseg2ei32.v v8,(x10),v4,v0.t
0774452c|	vloxseg2ei64.v v8,(x10),v4,v0.t
0704454e|	vloxseg3ei8.v v8,(x10),v4
0754454e|	vloxseg3ei16.v v8,(x10),v4
0764454e|	vloxseg3ei32.v v8,(x10),v4
0774454e|	vloxseg3ei64.v v8,(x10),v4
0704454c|	vloxseg3ei8.v v8,(x10),v4,v0.t
0754454c|	vloxseg3ei16.v v8,(x10),v4,v0.t
0764454c|	vloxseg3ei32.v v8,(x10),v4,v0.t
0774454c|	vloxseg3ei64.v v8,(x10),v4,v0.t
0704456e|	vloxseg4ei8.v v8,(x10),v4
0754456e|	vloxseg4ei16.v v8,(x10),v4
0764456e|	vloxseg4ei32.v v8,(x10),v4
0774456e|	vloxseg4ei64.v v8,(x10),v4
0704456c|	vloxseg4ei8.v v8,(x10),v4,v0.t
0754456c|	vloxseg4ei16.v v8,(x10),v4,v0.t
0764456c|	vloxseg4ei32.v v8,(x10),v4,v0.t
0774456c|	vloxseg4ei64.v v8,(x10),v4,v0.t
0704458e|	vloxseg5ei8.v v8,(x10),v4
0754458e|	vloxseg5ei16.v v8,(x10),v4
0764458e|	vloxseg5ei32.v v8,(x10),v4
0774458e|	vloxseg5ei64.v v8,(x10),v4
0704458c|	vloxseg5ei8.v v8,(x10),v4,v0.t
0754458c|	vloxseg5ei16.v v8,(x10),v4,v0.t
0764458c|	vloxseg5ei32.v v8,(x10),v4,v0.t
0774458c|	vloxseg5ei64.v v8,(x10),v4,v0.t
070445ce|	vloxseg7ei8.v v8,(x10),v4
075445ce|	vloxseg7ei16.v v8,(x10),v4
076445ce|	vloxseg7ei32.v v8,(x10),v4
077445ce|	vloxseg7ei64.v v8,(x10),v4
070445cc|	vloxseg7ei8.v v8,(x10),v4,v0.t
075445cc|	vloxseg7ei16.v v8,(x10),v4,v0.t
076445cc|	vloxseg7ei32.v v8,(x10),v4,v0.t
077445cc|	vloxseg7ei64.v v8,(x10),v4,v0.t
070445ee|	vloxseg8ei8.v v8,(x10),v4
075445ee|	vloxseg8ei16.v v8,(x10),v4
076445ee|	vloxseg8ei32.v v8,(x10),v4
077445ee|	vloxseg8ei64.v v8,(x10),v4
070445ec|	vloxseg8ei8.v v8,(x10),v4,v0.t
075445ec|	vloxseg8ei16.v v8,(x10),v4,v0.t
076445ec|	vloxseg8ei32.v v8,(x10),v4,v0.t
077445ec|	vloxseg8ei64.v v8,(x10),v4,v0.t
270c452e|	vsoxseg2ei8.v v24,(x10),v4
275c452e|	vsoxseg2ei16.v v24,(x10),v4
276c452e|	vsoxseg2ei32.v v24,(x10),v4
277c452e|	vsoxseg2ei64.v v24,(x10),v4
270c452c|	vsoxseg2ei8.v v24,(x10),v4,v0.t
275c452c|	vsoxseg2ei16.v v24,(x10),v4,v0.t
276c452c|	vsoxseg2ei32.v v24,(x10),v4,v0.t
277c452c|	vsoxseg2ei64.v v24,(x10),v4,v0.t
270c454e|	vsoxseg3ei8.v v24,(x10),v4
275c454e|	vsoxseg3ei16.v v24,(x10),v4
276c454e|	vsoxseg3ei32.v v24,(x10),v4
277c454e|	vsoxseg3ei64.v v24,(x10),v4
270c454c|	vsoxseg3ei8.v v24,(x10),v4,v0.t
275c454c|	vsoxseg3ei16.v v24,(x10),v4,v0.t
276c454c|	vsoxseg3ei32.v v24,(x10),v4,v0.t
277c454c|	vsoxseg3ei64.v v24,(x10),v4,v0.t
270c456e|	vsoxseg4ei8.v v24,(x10),v4
275c456e|	vsoxseg4ei16.v v24,(x10),v4
276c456e|	vsoxseg4ei32.v v24,(x10),v4
277c456e|	vsoxseg4ei64.v v24,(x10),v4
270c456c|	vsoxseg4ei8.v v24,(x10),v4,v0.t
275c456c|	vsoxseg4ei16.v v24,(x10),v4,v0.t
276c456c|	vsoxseg4ei32.v v24,(x10),v4,v0.t
277c456c|	vsoxseg4ei64.v v24,(x10),v4,v0.t
270c458e|	vsoxseg5ei8.v v24,(x10),v4
275c458e|	vsoxseg5ei16.v v24,(x10),v4
276c458e|	vsoxseg5ei32.v v24,(x10),v4
277c458e|	vsoxseg5ei64.v v24,(x10),v4
270c458c|	vsoxseg5ei8.v v24,(x10),v4,v0.t
275c458c|	vsoxseg5ei16.v v24,(x10),v4,v0.t
276c458c|	vsoxseg5ei32.v v24,(x10),v4,v0.t
277c458c|	vsoxseg5ei64.v v24,(x10),v4,v0.t
270c45ae|	vsoxseg6ei8.v v24,(x10),v4
275c45ae|	vsoxseg6ei16.v v24,(x10),v4
276c45ae|	vsoxseg6ei32.v v24,(x10),v4
277c45ae|	vsoxseg6ei64.v v24,(x10),v4
270c45ac|	vsoxseg6ei8.v v24,(x10),v4,v0.t
275c45ac|	vsoxseg6ei16.v v24,(x10),v4,v0.t
276c45ac|	vsoxseg6ei32.v v24,(x10),v4,v0.t
277c45ac|	vsoxseg6ei64.v v24,(x10),v4,v0.t
270c45ce|	vsoxseg7ei8.v v24,(x10),v4
275c45ce|	vsoxseg7ei16.v v24,(x10),v4
276c45ce|	vsoxseg7ei32.v v24,(x10),v4
277c45ce|	vsoxseg7ei64.v v24,(x10),v4
270c45cc|	vsoxseg7ei8.v v24,(x10),v4,v0.t
275c45cc|	vsoxseg7ei16.v v24,(x10),v4,v0.t
276c45cc|	vsoxseg7ei32.v v24,(x10),v4,v0.t
277c45cc|	vsoxseg7ei64.v v24,(x10),v4,v0.t
270c45ee|	vsoxseg8ei8.v v24,(x10),v4
275c45ee|	vsoxseg8ei16.v v24,(x10),v4
276c45ee|	vsoxseg8ei32.v v24,(x10),v4
277c45ee|	vsoxseg8ei64.v v24,(x10),v4
270c45ec|	vsoxseg8ei8.v v24,(x10),v4,v0.t
275c45ec|	vsoxseg8ei16.v v24,(x10),v4,v0.t
276c45ec|	vsoxseg8ei32.v v24,(x10),v4,v0.t
277c45ec|	vsoxseg8ei64.v v24,(x10),v4,v0.t

# 31.7.9: Vector Load/Store Whole Register Instructions
87018502|	vl1r.v v3,(x10)
87518502|	vl1re16.v v3,(x10)
87618502|	vl1re32.v v3,(x10)
87718502|	vl1re64.v v3,(x10)
07018522|	vl2r.v v2,(x10)
07518522|	vl2re16.v v2,(x10)
07618522|	vl2re32.v v2,(x10)
07718522|	vl2re64.v v2,(x10)
07028562|	vl4r.v v4,(x10)
07528562|	vl4re16.v v4,(x10)
07628562|	vl4re32.v v4,(x10)
07728562|	vl4re64.v v4,(x10)
070485e2|	vl8r.v v8,(x10)
075485e2|	vl8re16.v v8,(x10)
076485e2|	vl8re32.v v8,(x10)
077485e2|	vl8re64.v v8,(x10)
a7818502|	vs1r.v v3,(x11)
27818522|	vs2r.v v2,(x11)
27828562|	vs4r.v v4,(x11)
278485e2|	vs8r.v v8,(x11)

# 31.11.1: Vector Single-Width Integer Add and Subtract
d7812002|	vadd.vv v3,v2,v1
d7812000|	vadd.vv v3,v2,v1,v0.t
d7412502|	vadd.vx v3,v2,x10
d7412500|	vadd.vx v3,v2,x10,v0.t
d7b12702|	vadd.vi v3,v2,15
d7b12700|	vadd.vi v3,v2,15,v0.t
d7312802|	vadd.vi v3,v2,-16
d7312800|	vadd.vi v3,v2,-16,v0.t
d781200a|	vsub.vv v3,v2,v1
d7812008|	vsub.vv v3,v2,v1,v0.t
d741250a|	vsub.vx v3,v2,x10
d7412508|	vsub.vx v3,v2,x10,v0.t
d741250e|	vrsub.vx v3,v2,x10
d741250c|	vrsub.vx v3,v2,x10,v0.t
d7b1270c|	vrsub.vi v3,v2,15,v0.t
d731280c|	vrsub.vi v3,v2,-16,v0.t
d741200e|	vneg.v v3,v2
d741200c|	vneg.v v3,v2,v0.t

# 31.11.2: Vector Widening Integer Add/Subtract
d7a120c2|	vwaddu.vv v3,v2,v1
d7a120c0|	vwaddu.vv v3,v2,v1,v0.t
d76125c2|	vwaddu.vx v3,v2,x10
d76125c0|	vwaddu.vx v3,v2,x10,v0.t
d7a120ca|	vwsubu.vv v3,v2,v1
d7a120c8|	vwsubu.vv v3,v2,v1,v0.t
d76125ca|	vwsubu.vx v3,v2,x10
d76125c8|	vwsubu.vx v3,v2,x10,v0.t
d7a120c6|	vwadd.vv v3,v2,v1
d7a120c4|	vwadd.vv v3,v2,v1,v0.t
d76125c6|	vwadd.vx v3,v2,x10
d76125c4|	vwadd.vx v3,v2,x10,v0.t
d7a120ce|	vwsub.vv v3,v2,v1
d7a120cc|	vwsub.vv v3,v2,v1,v0.t
d76125ce|	vwsub.vx v3,v2,x10
d76125cc|	vwsub.vx v3,v2,x10,v0.t
d7a120d2|	vwaddu.wv v3,v2,v1
d7a120d0|	vwaddu.wv v3,v2,v1,v0.t
d76125d2|	vwaddu.wx v3,v2,x10
d76125d0|	vwaddu.wx v3,v2,x10,v0.t
d7a120da|	vwsubu.wv v3,v2,v1
d7a120d8|	vwsubu.wv v3,v2,v1,v0.t
d76125da|	vwsubu.wx v3,v2,x10
d76125d8|	vwsubu.wx v3,v2,x10,v0.t
d7a120d6|	vwadd.wv v3,v2,v1
d7a120d4|	vwadd.wv v3,v2,v1,v0.t
d76125d6|	vwadd.wx v3,v2,x10
d76125d4|	vwadd.wx v3,v2,x10,v0.t
d7a120de|	vwsub.wv v3,v2,v1
d7a120dc|	vwsub.wv v3,v2,v1,v0.t
d76125de|	vwsub.wx v3,v2,x10
d76125dc|	vwsub.wx v3,v2,x10,v0.t
d76120c6|	vwcvt.x.x.v v3,v2
d76120c4|	vwcvt.x.x.v v3,v2,v0.t
d76120c2|	vwcvtu.x.x.v v3,v2
d76120c0|	vwcvtu.x.x.v v3,v2,v0.t

# 31.11.3: Vector Integer Extension
d721234a|	vzext.vf2 v3,v2
d7212348|	vzext.vf2 v3,v2,v0.t
d7a1234a|	vsext.vf2 v3,v2
d7a12348|	vsext.vf2 v3,v2,v0.t
d721224a|	vzext.vf4 v3,v2
d7212248|	vzext.vf4 v3,v2,v0.t
d7a1224a|	vsext.vf4 v3,v2
d7a12248|	vsext.vf4 v3,v2,v0.t
d721214a|	vzext.vf8 v3,v2
d7212148|	vzext.vf8 v3,v2,v0.t
d7a1214a|	vsext.vf8 v3,v2
d7a12148|	vsext.vf8 v3,v2,v0.t

# 31.11.4: Vector Integer Add-with-Carry / Subtract-with-Borrow Instructions
d7812040|	vadc.vvm v3,v2,v1,v0
d7c12540|	vadc.vxm v3,v2,x11,v0
d7b12740|	vadc.vim v3,v2,15,v0
d7812044|	vmadc.vvm v3,v2,v1,v0
d7c12544|	vmadc.vxm v3,v2,x11,v0
d7b12744|	vmadc.vim v3,v2,15,v0
d7812046|	vmadc.vv v3,v2,v1
d7c12546|	vmadc.vx v3,v2,x11
d7b12746|	vmadc.vi v3,v2,15
d7812048|	vsbc.vvm v3,v2,v1,v0
d7c12548|	vsbc.vxm v3,v2,x11,v0
d781204c|	vmsbc.vvm v3,v2,v1,v0
d7c1254c|	vmsbc.vxm v3,v2,x11,v0
d781204e|	vmsbc.vv v3,v2,v1
d7c1254e|	vmsbc.vx v3,v2,x11

# 31.11.5: Vector Bitwise Logical Instructions
d7812026|	vand.vv v3,v2,v1
d7812024|	vand.vv v3,v2,v1,v0.t
d7c12526|	vand.vx v3,v2,x11
d7c12524|	vand.vx v3,v2,x11,v0.t
d7b12726|	vand.vi v3,v2,15
d7b12724|	vand.vi v3,v2,15,v0.t
d781202a|	vor.vv v3,v2,v1
d7812028|	vor.vv v3,v2,v1,v0.t
d7c1252a|	vor.vx v3,v2,x11
d7c12528|	vor.vx v3,v2,x11,v0.t
d7b1272a|	vor.vi v3,v2,15
d7b12728|	vor.vi v3,v2,15,v0.t
d781202e|	vxor.vv v3,v2,v1
d781202c|	vxor.vv v3,v2,v1,v0.t
d7c1252e|	vxor.vx v3,v2,x11
d7c1252c|	vxor.vx v3,v2,x11,v0.t
d7b1272e|	vxor.vi v3,v2,15
d7b1272c|	vxor.vi v3,v2,15,v0.t
d7b12f2e|	vnot.v v3,v2
d7b12f2c|	vnot.v v3,v2,v0.t

# 31.11.6: Vector Single-Width Shift Instructions
d7812096|	vsll.vv v3,v2,v1
d7812094|	vsll.vv v3,v2,v1,v0.t
d7c12596|	vsll.vx v3,v2,x11
d7c12594|	vsll.vx v3,v2,x11,v0.t
d7b12796|	vsll.vi v3,v2,15
d7b12794|	vsll.vi v3,v2,15,v0.t
d78120a2|	vsrl.vv v3,v2,v1
d78120a0|	vsrl.vv v3,v2,v1,v0.t
d7c125a2|	vsrl.vx v3,v2,x11
d7c125a0|	vsrl.vx v3,v2,x11,v0.t
d7b127a2|	vsrl.vi v3,v2,15
d7b127a0|	vsrl.vi v3,v2,15,v0.t
d78120a6|	vsra.vv v3,v2,v1
d78120a4|	vsra.vv v3,v2,v1,v0.t
d7c125a6|	vsra.vx v3,v2,x11
d7c125a4|	vsra.vx v3,v2,x11,v0.t
d7b127a6|	vsra.vi v3,v2,15
d7b127a4|	vsra.vi v3,v2,15,v0.t

# 31.11.7: Vector Narrowing Integer Right Shift Instructions
d78120b2|	vnsrl.wv v3,v2,v1
d78120b0|	vnsrl.wv v3,v2,v1,v0.t
d74125b2|	vnsrl.wx v3,v2,x10
d74125b0|	vnsrl.wx v3,v2,x10,v0.t
d7b12fb2|	vnsrl.wi v3,v2,31
d7b12fb0|	vnsrl.wi v3,v2,31,v0.t
d78120b6|	vnsra.wv v3,v2,v1
d78120b4|	vnsra.wv v3,v2,v1,v0.t
